PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,IsChild,SurvivedText,FamilySize
216,1,1,female,31.0,1,0,113.275,C,Adult,Yes,2
217,1,3,female,27.0,0,0,7.925,S,Adult,Yes,1
218,0,2,male,42.0,1,0,27.0,S,Adult,No,2
219,1,1,female,32.0,0,0,76.2917,C,Adult,Yes,1
220,0,2,male,30.0,0,0,10.5,S,Adult,No,1
221,1,3,male,16.0,0,0,8.05,S,Adult,Yes,1
222,0,2,male,27.0,0,0,13.0,S,Adult,No,1
223,0,3,male,51.0,0,0,8.05,S,Adult,No,1
224,0,3,male,,0,0,7.8958,S,Adult,No,1
225,1,1,male,38.0,1,0,90.0,S,Adult,Yes,2
226,0,3,male,22.0,0,0,9.35,S,Adult,No,1
227,1,2,male,19.0,0,0,10.5,S,Adult,Yes,1
228,0,3,male,20.5,0,0,7.25,S,Adult,No,1
229,0,2,male,18.0,0,0,13.0,S,Adult,No,1
230,0,3,female,,3,1,25.4667,S,Adult,No,5
231,1,1,female,35.0,1,0,83.475,S,Adult,Yes,2
232,0,3,male,29.0,0,0,7.775,S,Adult,No,1
233,0,2,male,59.0,0,0,13.5,S,Adult,No,1
234,1,3,female,5.0,4,2,31.3875,S,Child,Yes,7
235,0,2,male,24.0,0,0,10.5,S,Adult,No,1
236,0,3,female,,0,0,7.55,S,Adult,No,1
237,0,2,male,44.0,1,0,26.0,S,Adult,No,2
238,1,2,female,8.0,0,2,26.25,S,Child,Yes,3
239,0,2,male,19.0,0,0,10.5,S,Adult,No,1
240,0,2,male,33.0,0,0,12.275,S,Adult,No,1
241,0,3,female,,1,0,14.4542,C,Adult,No,2
242,1,3,female,,1,0,15.5,Q,Adult,Yes,2
243,0,2,male,29.0,0,0,10.5,S,Adult,No,1
244,0,3,male,22.0,0,0,7.125,S,Adult,No,1
245,0,3,male,30.0,0,0,7.225,C,Adult,No,1
246,0,1,male,44.0,2,0,90.0,Q,Adult,No,3
247,0,3,female,25.0,0,0,7.775,S,Adult,No,1
248,1,2,female,24.0,0,2,14.5,S,Adult,Yes,3
249,1,1,male,37.0,1,1,52.5542,S,Adult,Yes,3
250,0,2,male,54.0,1,0,26.0,S,Adult,No,2
251,0,3,male,,0,0,7.25,S,Adult,No,1
252,0,3,female,29.0,1,1,10.4625,S,Adult,No,3
253,0,1,male,62.0,0,0,26.55,S,Adult,No,1
254,0,3,male,30.0,1,0,16.1,S,Adult,No,2
255,0,3,female,41.0,0,2,20.2125,S,Adult,No,3
256,1,3,female,29.0,0,2,15.2458,C,Adult,Yes,3
257,1,1,female,,0,0,79.2,C,Adult,Yes,1
258,1,1,female,30.0,0,0,86.5,S,Adult,Yes,1
259,1,1,female,35.0,0,0,512.3292,C,Adult,Yes,1
260,1,2,female,50.0,0,1,26.0,S,Adult,Yes,2
261,0,3,male,,0,0,7.75,Q,Adult,No,1
262,1,3,male,3.0,4,2,31.3875,S,Child,Yes,7
263,0,1,male,52.0,1,1,79.65,S,Adult,No,3
264,0,1,male,40.0,0,0,0.0,S,Adult,No,1
265,0,3,female,,0,0,7.75,Q,Adult,No,1
266,0,2,male,36.0,0,0,10.5,S,Adult,No,1
267,0,3,male,16.0,4,1,39.6875,S,Adult,No,6
268,1,3,male,25.0,1,0,7.775,S,Adult,Yes,2
269,1,1,female,58.0,0,1,153.4625,S,Adult,Yes,2
270,1,1,female,35.0,0,0,135.6333,S,Adult,Yes,1
271,0,1,male,,0,0,31.0,S,Adult,No,1
272,1,3,male,25.0,0,0,0.0,S,Adult,Yes,1
273,1,2,female,41.0,0,1,19.5,S,Adult,Yes,2
274,0,1,male,37.0,0,1,29.7,C,Adult,No,2
275,1,3,female,,0,0,7.75,Q,Adult,Yes,1
276,1,1,female,63.0,1,0,77.9583,S,Adult,Yes,2
277,0,3,female,45.0,0,0,7.75,S,Adult,No,1
278,0,2,male,,0,0,0.0,S,Adult,No,1
279,0,3,male,7.0,4,1,29.125,Q,Child,No,6
280,1,3,female,35.0,1,1,20.25,S,Adult,Yes,3
281,0,3,male,65.0,0,0,7.75,Q,Adult,No,1
282,0,3,male,28.0,0,0,7.8542,S,Adult,No,1
283,0,3,male,16.0,0,0,9.5,S,Adult,No,1
284,1,3,male,19.0,0,0,8.05,S,Adult,Yes,1
285,0,1,male,,0,0,26.0,S,Adult,No,1
286,0,3,male,33.0,0,0,8.6625,C,Adult,No,1
287,1,3,male,30.0,0,0,9.5,S,Adult,Yes,1
288,0,3,male,22.0,0,0,7.8958,S,Adult,No,1
289,1,2,male,42.0,0,0,13.0,S,Adult,Yes,1
290,1,3,female,22.0,0,0,7.75,Q,Adult,Yes,1
291,1,1,female,26.0,0,0,78.85,S,Adult,Yes,1
292,1,1,female,19.0,1,0,91.0792,C,Adult,Yes,2
293,0,2,male,36.0,0,0,12.875,C,Adult,No,1
294,0,3,female,24.0,0,0,8.85,S,Adult,No,1
295,0,3,male,24.0,0,0,7.8958,S,Adult,No,1
296,0,1,male,,0,0,27.7208,C,Adult,No,1
297,0,3,male,23.5,0,0,7.2292,C,Adult,No,1
298,0,1,female,2.0,1,2,151.55,S,Child,No,4
299,1,1,male,,0,0,30.5,S,Adult,Yes,1
300,1,1,female,50.0,0,1,247.5208,C,Adult,Yes,2
301,1,3,female,,0,0,7.75,Q,Adult,Yes,1
302,1,3,male,,2,0,23.25,Q,Adult,Yes,3
303,0,3,male,19.0,0,0,0.0,S,Adult,No,1
304,1,2,female,,0,0,12.35,Q,Adult,Yes,1
305,0,3,male,,0,0,8.05,S,Adult,No,1
306,1,1,male,0.92,1,2,151.55,S,Child,Yes,4
307,1,1,female,,0,0,110.8833,C,Adult,Yes,1
308,1,1,female,17.0,1,0,108.9,C,Adult,Yes,2
309,0,2,male,30.0,1,0,24.0,C,Adult,No,2
310,1,1,female,30.0,0,0,56.9292,C,Adult,Yes,1
311,1,1,female,24.0,0,0,83.1583,C,Adult,Yes,1
312,1,1,female,18.0,2,2,262.375,C,Adult,Yes,5
313,0,2,female,26.0,1,1,26.0,S,Adult,No,3
314,0,3,male,28.0,0,0,7.8958,S,Adult,No,1
315,0,2,male,43.0,1,1,26.25,S,Adult,No,3
316,1,3,female,26.0,0,0,7.8542,S,Adult,Yes,1
317,1,2,female,24.0,1,0,26.0,S,Adult,Yes,2
318,0,2,male,54.0,0,0,14.0,S,Adult,No,1
319,1,1,female,31.0,0,2,164.8667,S,Adult,Yes,3
320,1,1,female,40.0,1,1,134.5,C,Adult,Yes,3
321,0,3,male,22.0,0,0,7.25,S,Adult,No,1
322,0,3,male,27.0,0,0,7.8958,S,Adult,No,1
323,1,2,female,30.0,0,0,12.35,Q,Adult,Yes,1
324,1,2,female,22.0,1,1,29.0,S,Adult,Yes,3
325,0,3,male,,8,2,69.55,S,Adult,No,11
326,1,1,female,36.0,0,0,135.6333,C,Adult,Yes,1
327,0,3,male,61.0,0,0,6.2375,S,Adult,No,1
328,1,2,female,36.0,0,0,13.0,S,Adult,Yes,1
329,1,3,female,31.0,1,1,20.525,S,Adult,Yes,3
330,1,1,female,16.0,0,1,57.9792,C,Adult,Yes,2
331,1,3,female,,2,0,23.25,Q,Adult,Yes,3
332,0,1,male,45.5,0,0,28.5,S,Adult,No,1
333,0,1,male,38.0,0,1,153.4625,S,Adult,No,2
334,0,3,male,16.0,2,0,18.0,S,Adult,No,3
335,1,1,female,,1,0,133.65,S,Adult,Yes,2
336,0,3,male,,0,0,7.8958,S,Adult,No,1
337,0,1,male,29.0,1,0,66.6,S,Adult,No,2
338,1,1,female,41.0,0,0,134.5,C,Adult,Yes,1
339,1,3,male,45.0,0,0,8.05,S,Adult,Yes,1
340,0,1,male,45.0,0,0,35.5,S,Adult,No,1
341,1,2,male,2.0,1,1,26.0,S,Child,Yes,3
342,1,1,female,24.0,3,2,263.0,S,Adult,Yes,6
343,0,2,male,28.0,0,0,13.0,S,Adult,No,1
344,0,2,male,25.0,0,0,13.0,S,Adult,No,1
345,0,2,male,36.0,0,0,13.0,S,Adult,No,1
346,1,2,female,24.0,0,0,13.0,S,Adult,Yes,1
347,1,2,female,40.0,0,0,13.0,S,Adult,Yes,1
348,1,3,female,,1,0,16.1,S,Adult,Yes,2
349,1,3,male,3.0,1,1,15.9,S,Child,Yes,3
350,0,3,male,42.0,0,0,8.6625,S,Adult,No,1
351,0,3,male,23.0,0,0,9.225,S,Adult,No,1
352,0,1,male,,0,0,35.0,S,Adult,No,1
353,0,3,male,15.0,1,1,7.2292,C,Adult,No,3
354,0,3,male,25.0,1,0,17.8,S,Adult,No,2
355,0,3,male,,0,0,7.225,C,Adult,No,1
356,0,3,male,28.0,0,0,9.5,S,Adult,No,1
357,1,1,female,22.0,0,1,55.0,S,Adult,Yes,2
358,0,2,female,38.0,0,0,13.0,S,Adult,No,1
359,1,3,female,,0,0,7.8792,Q,Adult,Yes,1
360,1,3,female,,0,0,7.8792,Q,Adult,Yes,1
361,0,3,male,40.0,1,4,27.9,S,Adult,No,6
362,0,2,male,29.0,1,0,27.7208,C,Adult,No,2
363,0,3,female,45.0,0,1,14.4542,C,Adult,No,2
364,0,3,male,35.0,0,0,7.05,S,Adult,No,1
365,0,3,male,,1,0,15.5,Q,Adult,No,2
366,0,3,male,30.0,0,0,7.25,S,Adult,No,1
367,1,1,female,60.0,1,0,75.25,C,Adult,Yes,2
368,1,3,female,,0,0,7.2292,C,Adult,Yes,1
369,1,3,female,,0,0,7.75,Q,Adult,Yes,1
370,1,1,female,24.0,0,0,69.3,C,Adult,Yes,1
371,1,1,male,25.0,1,0,55.4417,C,Adult,Yes,2
372,0,3,male,18.0,1,0,6.4958,S,Adult,No,2
373,0,3,male,19.0,0,0,8.05,S,Adult,No,1
374,0,1,male,22.0,0,0,135.6333,C,Adult,No,1
375,0,3,female,3.0,3,1,21.075,S,Child,No,5
376,1,1,female,,1,0,82.1708,C,Adult,Yes,2
377,1,3,female,22.0,0,0,7.25,S,Adult,Yes,1
378,0,1,male,27.0,0,2,211.5,C,Adult,No,3
379,0,3,male,20.0,0,0,4.0125,C,Adult,No,1
380,0,3,male,19.0,0,0,7.775,S,Adult,No,1
381,1,1,female,42.0,0,0,227.525,C,Adult,Yes,1
382,1,3,female,1.0,0,2,15.7417,C,Child,Yes,3
383,0,3,male,32.0,0,0,7.925,S,Adult,No,1
384,1,1,female,35.0,1,0,52.0,S,Adult,Yes,2
385,0,3,male,,0,0,7.8958,S,Adult,No,1
386,0,2,male,18.0,0,0,73.5,S,Adult,No,1
387,0,3,male,1.0,5,2,46.9,S,Child,No,8
388,1,2,female,36.0,0,0,13.0,S,Adult,Yes,1
389,0,3,male,,0,0,7.7292,Q,Adult,No,1
390,1,2,female,17.0,0,0,12.0,C,Adult,Yes,1
391,1,1,male,36.0,1,2,120.0,S,Adult,Yes,4
392,1,3,male,21.0,0,0,7.7958,S,Adult,Yes,1
393,0,3,male,28.0,2,0,7.925,S,Adult,No,3
394,1,1,female,23.0,1,0,113.275,C,Adult,Yes,2
395,1,3,female,24.0,0,2,16.7,S,Adult,Yes,3
396,0,3,male,22.0,0,0,7.7958,S,Adult,No,1
397,0,3,female,31.0,0,0,7.8542,S,Adult,No,1
398,0,2,male,46.0,0,0,26.0,S,Adult,No,1
399,0,2,male,23.0,0,0,10.5,S,Adult,No,1
400,1,2,female,28.0,0,0,12.65,S,Adult,Yes,1
401,1,3,male,39.0,0,0,7.925,S,Adult,Yes,1
402,0,3,male,26.0,0,0,8.05,S,Adult,No,1
403,0,3,female,21.0,1,0,9.825,S,Adult,No,2
404,0,3,male,28.0,1,0,15.85,S,Adult,No,2
405,0,3,female,20.0,0,0,8.6625,S,Adult,No,1
406,0,2,male,34.0,1,0,21.0,S,Adult,No,2
407,0,3,male,51.0,0,0,7.75,S,Adult,No,1
408,1,2,male,3.0,1,1,18.75,S,Child,Yes,3
409,0,3,male,21.0,0,0,7.775,S,Adult,No,1
410,0,3,female,,3,1,25.4667,S,Adult,No,5
411,0,3,male,,0,0,7.8958,S,Adult,No,1
412,0,3,male,,0,0,6.8583,Q,Adult,No,1
413,1,1,female,33.0,1,0,90.0,Q,Adult,Yes,2
414,0,2,male,,0,0,0.0,S,Adult,No,1
415,1,3,male,44.0,0,0,7.925,S,Adult,Yes,1
416,0,3,female,,0,0,8.05,S,Adult,No,1
417,1,2,female,34.0,1,1,32.5,S,Adult,Yes,3
418,1,2,female,18.0,0,2,13.0,S,Adult,Yes,3
419,0,2,male,30.0,0,0,13.0,S,Adult,No,1
420,0,3,female,10.0,0,2,24.15,S,Adult,No,3
421,0,3,male,,0,0,7.8958,C,Adult,No,1
422,0,3,male,21.0,0,0,7.7333,Q,Adult,No,1
423,0,3,male,29.0,0,0,7.875,S,Adult,No,1
424,0,3,female,28.0,1,1,14.4,S,Adult,No,3
425,0,3,male,18.0,1,1,20.2125,S,Adult,No,3
426,0,3,male,,0,0,7.25,S,Adult,No,1
427,1,2,female,28.0,1,0,26.0,S,Adult,Yes,2
428,1,2,female,19.0,0,0,26.0,S,Adult,Yes,1
429,0,3,male,,0,0,7.75,Q,Adult,No,1
430,1,3,male,32.0,0,0,8.05,S,Adult,Yes,1
431,1,1,male,28.0,0,0,26.55,S,Adult,Yes,1
432,1,3,female,,1,0,16.1,S,Adult,Yes,2
433,1,2,female,42.0,1,0,26.0,S,Adult,Yes,2
434,0,3,male,17.0,0,0,7.125,S,Adult,No,1
435,0,1,male,50.0,1,0,55.9,S,Adult,No,2
436,1,1,female,14.0,1,2,120.0,S,Adult,Yes,4
437,0,3,female,21.0,2,2,34.375,S,Adult,No,5
438,1,2,female,24.0,2,3,18.75,S,Adult,Yes,6
439,0,1,male,64.0,1,4,263.0,S,Adult,No,6
440,0,2,male,31.0,0,0,10.5,S,Adult,No,1
441,1,2,female,45.0,1,1,26.25,S,Adult,Yes,3
442,0,3,male,20.0,0,0,9.5,S,Adult,No,1
443,0,3,male,25.0,1,0,7.775,S,Adult,No,2
444,1,2,female,28.0,0,0,13.0,S,Adult,Yes,1
445,1,3,male,,0,0,8.1125,S,Adult,Yes,1
446,1,1,male,4.0,0,2,81.8583,S,Child,Yes,3
447,1,2,female,13.0,0,1,19.5,S,Adult,Yes,2
448,1,1,male,34.0,0,0,26.55,S,Adult,Yes,1
449,1,3,female,5.0,2,1,19.2583,C,Child,Yes,4
450,1,1,male,52.0,0,0,30.5,S,Adult,Yes,1
451,0,2,male,36.0,1,2,27.75,S,Adult,No,4
452,0,3,male,,1,0,19.9667,S,Adult,No,2
453,0,1,male,30.0,0,0,27.75,C,Adult,No,1
454,1,1,male,49.0,1,0,89.1042,C,Adult,Yes,2
